"id","module","item_type","key","name","http_method","api_path","roles","scope","primary_tables","depends_on","notes"
"1","auth","FUNCTION","auth.login","Authenticate user and issue tokens","","","","users","","JWT access+refresh",
"3","auth","FUNCTION","auth.refresh","Rotate access token using refresh token","","","","users","","JWT access+refresh",
"5","auth","FUNCTION","auth.logout","Invalidate refresh token/session","","","","users","","",
"7","auth","FUNCTION","auth.registerAdmin","Create admin account and optional shop assignment","","","","users|user_shops","","Created by superAdmin",
"9","auth","FUNCTION","auth.registerUser","Create cashier account and assign to shop","","","","users|user_shops","","Created by admin or superAdmin",
"11","auth","FUNCTION","auth.forgotPasswordRequest","Generate password reset request","","","","users","","Requires reset-token mechanism (not defined in ERD)",
"13","auth","FUNCTION","auth.resetPassword","Validate reset token and update password","","","","users","","Requires reset-token mechanism (not defined in ERD)",
"15","auth","FUNCTION","auth.changePassword","Change password for authenticated user","","","","users","","",
"17","profile","FUNCTION","profile.getMe","Get own profile","","","","users","","",
"19","profile","FUNCTION","profile.updateMe","Update own profile fields","","","","users","","",
"21","profile","FUNCTION","profile.updatePhoto","Update profile photo path/file","","","","users","","uploads","Uses uploads folder"
"23","shops","FUNCTION","shops.list","List shops by role scope","","","","shops|user_shops","","",
"25","shops","FUNCTION","shops.create","Create new shop","","","","shops","","",
"27","shops","FUNCTION","shops.detail","Get shop detail","","","","shops|user_shops","","",
"29","shops","FUNCTION","shops.update","Update shop","","","","shops","","",
"31","shops","FUNCTION","shops.delete","Soft/hard delete shop by policy","","","","shops","","",
"33","shops","FUNCTION","shops.assignStaff","Assign admin/user to shop","","","","user_shops|users|shops","","",
"35","shops","FUNCTION","shops.removeStaff","Remove admin/user from shop","","","","user_shops|users|shops","","",
"37","shops","FUNCTION","shops.listStaff","Get staff list in shop","","","","user_shops|users|shops","","",
"39","categories","FUNCTION","categories.list","List categories","","","","categories","","Global catalog",
"41","categories","FUNCTION","categories.create","Create category","","","","categories","","",
"43","categories","FUNCTION","categories.update","Update category","","","","categories","","",
"45","categories","FUNCTION","categories.delete","Delete category","","","","categories","","",
"47","products","FUNCTION","products.list","List products with filters","","","","products|product_variants|categories","","",
"49","products","FUNCTION","products.create","Create product and default/explicit variants","","","","products|product_variants","","At least one variant required",
"51","products","FUNCTION","products.detail","Get product detail with variants","","","","products|product_variants|categories","","",
"53","products","FUNCTION","products.update","Update product and/or variants","","","","products|product_variants","","",
